codec,generator,label,language,license,path,source_id,speaker_id,split,condition,condition_detail
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_6956221.wav,LA_E_6956221,LA_0031,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_6956221.wav,LA_E_6956221,LA_0031,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_6956221.wav,LA_E_6956221,LA_0031,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_6956221.wav,LA_E_6956221,LA_0031,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_6956221.wav,LA_E_6956221,LA_0031,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_6956221.wav,LA_E_6956221,LA_0031,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_4364195.wav,LA_E_4364195,LA_0064,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_4364195.wav,LA_E_4364195,LA_0064,test,opus_16k,opus@16k
opus_32k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_32k/LA_E_4364195.wav,LA_E_4364195,LA_0064,test,opus_32k,opus@32k
g711_ulaw,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/g711_ulaw/LA_E_4364195.wav,LA_E_4364195,LA_0064,test,g711_ulaw,g711_ulaw
narrowband_8k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/narrowband_8k/LA_E_4364195.wav,LA_E_4364195,LA_0064,test,narrowband_8k,narrowband
noise_10db,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/noise_10db/LA_E_4364195.wav,LA_E_4364195,LA_0064,test,noise_10db,noise 10 dB SNR
clean,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/clean/LA_E_4635024.wav,LA_E_4635024,LA_0014,test,clean,unmodified
opus_16k,bonafide,0,en,ASVspoof-corpus-terms,/media/storage/moonlab/strive-data/degraded/opus_16k/LA_E_4635024.wav,LA_E_4635024,LA_0014,test,opus_16k,opus@16k
